edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
ab868cc5f5ba4be5ed57b085,method,"public static int parseUnsignedInt(java.lang.String, int) throws java.lang.NumberFormatException;",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,public static java.lang.Integer decode(java.lang.String) throws java.lang.NumberFormatException;,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,public static java.lang.Integer getInteger(java.lang.String);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,"public static java.lang.Integer getInteger(java.lang.String, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,"public static java.lang.Integer getInteger(java.lang.String, java.lang.Integer);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,public static java.lang.Integer valueOf(java.lang.String) throws java.lang.NumberFormatException;,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
ab868cc5f5ba4be5ed57b085,method,"public static java.lang.Integer valueOf(java.lang.String, int) throws java.lang.NumberFormatException;",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public java.lang.String toString();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public static java.lang.String toBinaryString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public static java.lang.String toHexString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public static java.lang.String toOctalString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public static java.lang.String toString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,"public static java.lang.String toString(int, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,public static java.lang.String toUnsignedString(int);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
884dd92e69594e1e6f5958d8,method,"public static java.lang.String toUnsignedString(int, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/02db1e7879872909b044.txt,,,
322c33315c177992bcdf5e67,method,public java.lang.String toString();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/a6b9e0505186124241c7.txt,,,
8e85222b62c01c595d254d69,type,"class java.lang.String implements java.io.Serializable, java.lang.Comparable<java.lang.String>, java.lang.CharSequence {",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
0623b495d64df13cd166c044,method,public boolean equals(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
0623b495d64df13cd166c044,method,public int compareTo(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
0623b495d64df13cd166c044,method,"public static java.lang.String format(java.lang.String, java.lang.Object...);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
0623b495d64df13cd166c044,method,"public static java.lang.String format(java.util.Locale, java.lang.String, java.lang.Object...);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
0623b495d64df13cd166c044,method,public static java.lang.String valueOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
748e7b0aefea3626b6768e4a,constructor,public java.lang.UnsupportedOperationException(java.lang.String);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/e32b27ababaf16b7066c.txt,,,
748e7b0aefea3626b6768e4a,constructor,"public java.lang.UnsupportedOperationException(java.lang.String, java.lang.Throwable);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/e32b27ababaf16b7066c.txt,,,
7c43133b17ef0675cd190530,method,public boolean equals(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
7c43133b17ef0675cd190530,method,public int compareTo(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
ae84c09c33154d882b175b4d,constructor,public java.math.BigInteger(java.lang.String);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
ae84c09c33154d882b175b4d,constructor,"public java.math.BigInteger(java.lang.String, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
50b244808030a69db7e759a1,method,public java.lang.String toString();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/84bf506ee660c2b4b5aa.txt,,,
